"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET-URL";"DESCRIPTION";"GERDER";"HEIGHT";"IMAX";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUNT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PART-NUMBER";"PINS";"POPULARITY";"SPICEPREFIX";"TYPE";"VIN_MAX";"VOUT";
"1";"LM1117-3.3";"LM1117-3.3";"SOT230P700X180-4";"LDO_3V3";"LM1117";"";"";"";"";"800mA";"";"";"";"";"";"";"";"";"";"";"20";"3.3V";
"1";"MCP1501T-XXE";"MCP1501T-XXE";"SON50P200X200X80-9T80X120N";"LDO_VREF_1V8";"MCP1501T-XXE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"R001";"R-EU_R2512W";"R2512W";"MOTOR_LR, MOTOR_RR";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";"";"";"";
"1";"R002";"R-EU_R2512W";"R2512W";"RSENSE";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";"";"";"";
"1";"SMT-0540-S-R";"SMT-0540-S-R";"SMT-0540-S-R";"U$1";"Magnetic buzzer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"SPLITTER";"SPLITTER";"SPLITTER";"U$4, U$6";"Used for separating grounds";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"STM32F405RG";"STM32F405RG";"LQFP-64";"U1";"STM32F405RG Microcontroller";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TB67H420FTG";"TB67H420FTG";"QFN50P700X700X100-49T550N";"MOTORDRIVER";"TB67H420FTG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"TP_LO1, TP_LO2";"Test Points";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"TEST_POINTPAD_HOLE";"TEST_POINTPAD_HOLE";"PAD_HOLE";"TP_1V8, TP_3V3, TP_5V, TP_12V";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPS43061RTER";"TPS43061RTER";"QFN50P300X300X80-17N";"BOOST";"Low Iq, Synchronous Boost Controller with Wide Input Voltage and 5.5V Gate Drive for Low Qg  NexFETs";"";"Low Iq, Synchronous Boost Controller with Wide Input Voltage and 5.5V Gate Drive for Low Qg  NexFETs";"";"0.8mm";"";"Texas Instruments";"TPS43061RTER";"";"595-TPS43061RTER";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TPS43061RTER";"";"";"";"";"";"";"";
"1";"TPS82130SILT";"TPS82130SILT";"TPS82130SILT";"BUCK";"3-A 17V Step-down Converter Module with Integrated Inductor";"";"3-A 17V Step-down Converter Module with Integrated Inductor";"";"1mm";"";"Texas Instruments";"TPS82130SILT";"";"595-TPS82130SILT";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TPS82130SILT";"";"";"";"";"";"";"";
"2";"TSM2JSMA";"TSM2JSMA";"TSM2JSMA";"BTN_RESET, BTN_SEL";"FSM2JSMA Tactile SPST switches";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"WIRELESS-BLUETOOTH-HC-05";"WIRELESS-BLUETOOTH-HC-05";"WIRELESS-BLUETOOTH-HC-05";"BT_HC05";"Bluetooth Transceiver Module based on HC-05 board";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"XH-02";"XH-02";"JST-XH-02";"MOTOR_L, MOTOR_R";"JST EX Connector, through hole, 2 pin, top entry";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"XT30";"XT30";"XT30";"FAN_POWER_L, FAN_POWER_R";"XT60 Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"XT30PW-M";"XT30PW-M";"XT30PW-M";"U$15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"ZH";"ZR_B2B-ZR";"B2B-ZR";"PWM_FAN_L, PWM_FAN_R";"JST ZR Connector, through hole, 2 pin, top entry";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ZH";"ZR_B7B-ZR";"B7B-ZR";"XLINE";"JST ZR Connector, through hole, 7 pin, top entry";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"ZH-6";"ZR_B6B-ZR";"B6B-ZR";"ENC_L, ENC_R";"JST ZR Connector, through hole, 6 pin, top entry";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
